Meldedatum, difference, region, region_id, trend, value
2020-03-05, , Mecklenburg-Vorpommern, 13, , 0.2
2020-03-06, , Mecklenburg-Vorpommern, 13, , 0.3
2020-03-07, , Mecklenburg-Vorpommern, 13, , 0.3
2020-03-08, , Mecklenburg-Vorpommern, 13, , 0.3
2020-03-09, , Mecklenburg-Vorpommern, 13, , 0.4
2020-03-10, , Mecklenburg-Vorpommern, 13, , 0.7
2020-03-11, , Mecklenburg-Vorpommern, 13, , 0.6
2020-03-12, 0.7, Mecklenburg-Vorpommern, 13, 0.0097, 1
2020-03-13, 1.2, Mecklenburg-Vorpommern, 13, 0.0153, 1.5
2020-03-14, 1.7, Mecklenburg-Vorpommern, 13, 0.0225, 2.1
2020-03-15, 1.8, Mecklenburg-Vorpommern, 13, 0.0233, 2.1
2020-03-16, 1.6, Mecklenburg-Vorpommern, 13, 0.0209, 2.1
2020-03-17, 2, Mecklenburg-Vorpommern, 13, 0.0258, 2.7
2020-03-18, 3.9, Mecklenburg-Vorpommern, 13, 0.0507, 4.5
2020-03-19, 5.8, Mecklenburg-Vorpommern, 13, 0.0749, 6.8
2020-03-20, 6.8, Mecklenburg-Vorpommern, 13, 0.0886, 8.3
2020-03-21, 6.7, Mecklenburg-Vorpommern, 13, 0.087, 8.8
2020-03-22, 7.3, Mecklenburg-Vorpommern, 13, 0.0942, 9.4
2020-03-23, 7.3, Mecklenburg-Vorpommern, 13, 0.095, 9.4
2020-03-24, 6.7, Mecklenburg-Vorpommern, 13, 0.0862, 9.3
2020-03-25, 5.2, Mecklenburg-Vorpommern, 13, 0.0668, 9.7
2020-03-26, 1.7, Mecklenburg-Vorpommern, 13, 0.0217, 8.5
2020-03-27, -0.5, Mecklenburg-Vorpommern, 13, -0.0137, 7.8
2020-03-28, 0.7, Mecklenburg-Vorpommern, 13, 0.0089, 9.5
2020-03-29, 0.7, Mecklenburg-Vorpommern, 13, 0.0089, 10.1
2020-03-30, 1.3, Mecklenburg-Vorpommern, 13, 0.0169, 10.7
2020-03-31, 1.4, Mecklenburg-Vorpommern, 13, 0.0177, 10.7
2020-04-01, 1.8, Mecklenburg-Vorpommern, 13, 0.0233, 11.5
2020-04-02, 3, Mecklenburg-Vorpommern, 13, 0.0386, 11.4
2020-04-03, 3.9, Mecklenburg-Vorpommern, 13, 0.0507, 11.8
2020-04-04, 1.6, Mecklenburg-Vorpommern, 13, 0.0209, 11.1
2020-04-05, 0.6, Mecklenburg-Vorpommern, 13, 0.0081, 10.7
2020-04-06, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 10.1
2020-04-07, -1.1, Mecklenburg-Vorpommern, 13, -0.0292, 9.6
2020-04-08, -2.8, Mecklenburg-Vorpommern, 13, -0.0773, 8.7
2020-04-09, -3.7, Mecklenburg-Vorpommern, 13, -0.1014, 7.8
2020-04-10, -4.9, Mecklenburg-Vorpommern, 13, -0.134, 6.9
2020-04-11, -5.4, Mecklenburg-Vorpommern, 13, -0.1495, 5.7
2020-04-12, -5.2, Mecklenburg-Vorpommern, 13, -0.1426, 5.5
2020-04-13, -4.5, Mecklenburg-Vorpommern, 13, -0.1254, 5.6
2020-04-14, -4.1, Mecklenburg-Vorpommern, 13, -0.1134, 5.5
2020-04-15, -5.2, Mecklenburg-Vorpommern, 13, -0.1426, 3.5
2020-04-16, -4, Mecklenburg-Vorpommern, 13, -0.1117, 3.7
2020-04-17, -3.5, Mecklenburg-Vorpommern, 13, -0.0979, 3.4
2020-04-18, -2.7, Mecklenburg-Vorpommern, 13, -0.0756, 2.9
2020-04-19, -3, Mecklenburg-Vorpommern, 13, -0.0842, 2.5
2020-04-20, -3.3, Mecklenburg-Vorpommern, 13, -0.0911, 2.3
2020-04-21, -3.4, Mecklenburg-Vorpommern, 13, -0.0928, 2.2
2020-04-22, -1.4, Mecklenburg-Vorpommern, 13, -0.0395, 2.1
2020-04-23, -2.1, Mecklenburg-Vorpommern, 13, -0.0567, 1.7
2020-04-24, -2.2, Mecklenburg-Vorpommern, 13, -0.0619, 1.1
2020-04-25, -1.7, Mecklenburg-Vorpommern, 13, -0.0464, 1.2
2020-04-26, -1.2, Mecklenburg-Vorpommern, 13, -0.0326, 1.3
2020-04-27, -1, Mecklenburg-Vorpommern, 13, -0.0275, 1.3
2020-04-28, -0.9, Mecklenburg-Vorpommern, 13, -0.0258, 1.2
2020-04-29, -0.2, Mecklenburg-Vorpommern, 13, -0.0052, 1.9
2020-04-30, 0.2, Mecklenburg-Vorpommern, 13, 0.0032, 1.9
2020-05-01, 1.1, Mecklenburg-Vorpommern, 13, 0.0137, 2.2
2020-05-02, 0.8, Mecklenburg-Vorpommern, 13, 0.0105, 2.1
2020-05-03, 0.4, Mecklenburg-Vorpommern, 13, 0.0056, 1.7
2020-05-04, 0.4, Mecklenburg-Vorpommern, 13, 0.0056, 1.7
2020-05-05, 0.7, Mecklenburg-Vorpommern, 13, 0.0089, 1.9
2020-05-06, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 1.6
2020-05-07, -0.4, Mecklenburg-Vorpommern, 13, -0.012, 1.5
2020-05-08, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 1.6
2020-05-09, -0.7, Mecklenburg-Vorpommern, 13, -0.0189, 1.4
2020-05-10, -0.2, Mecklenburg-Vorpommern, 13, -0.0069, 1.5
2020-05-11, -0.1, Mecklenburg-Vorpommern, 13, -0.0017, 1.7
2020-05-12, -0.3, Mecklenburg-Vorpommern, 13, -0.0086, 1.6
2020-05-13, -0.1, Mecklenburg-Vorpommern, 13, -0.0034, 1.4
2020-05-14, , Mecklenburg-Vorpommern, 13, , 1.5
2020-05-15, -0.2, Mecklenburg-Vorpommern, 13, -0.0052, 1.4
2020-05-16, 0.2, Mecklenburg-Vorpommern, 13, 0.0024, 1.6
2020-05-17, -0.1, Mecklenburg-Vorpommern, 13, -0.0034, 1.4
2020-05-18, -0.4, Mecklenburg-Vorpommern, 13, -0.012, 1.2
2020-05-19, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 1.1
2020-05-20, -0.5, Mecklenburg-Vorpommern, 13, -0.0137, 0.9
2020-05-21, -0.3, Mecklenburg-Vorpommern, 13, -0.0086, 1.2
2020-05-22, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 0.9
2020-05-23, -0.8, Mecklenburg-Vorpommern, 13, -0.0223, 0.7
2020-05-24, -0.7, Mecklenburg-Vorpommern, 13, -0.0189, 0.7
2020-05-25, -0.6, Mecklenburg-Vorpommern, 13, -0.0172, 0.6
2020-05-26, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 0.7
2020-05-27, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 0.6
2020-05-28, -1.1, Mecklenburg-Vorpommern, 13, -0.0309, 0.1
2020-05-29, -0.7, Mecklenburg-Vorpommern, 13, -0.0206, 0.1
2020-05-30, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 0.2
2020-05-31, -0.5, Mecklenburg-Vorpommern, 13, -0.0137, 0.2
2020-06-01, -0.4, Mecklenburg-Vorpommern, 13, -0.012, 0.2
2020-06-02, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 0.1
2020-06-03, -0.4, Mecklenburg-Vorpommern, 13, -0.012, 0.1
2020-06-04, 0.2, Mecklenburg-Vorpommern, 13, 0.0024, 0.2
2020-06-05, 0.1, Mecklenburg-Vorpommern, 13, 0.0016, 0.2
2020-06-06, 0.2, Mecklenburg-Vorpommern, 13, 0.0024, 0.4
2020-06-07, 0.6, Mecklenburg-Vorpommern, 13, 0.0081, 0.8
2020-06-08, 0.6, Mecklenburg-Vorpommern, 13, 0.0081, 0.8
2020-06-09, 0.7, Mecklenburg-Vorpommern, 13, 0.0089, 0.8
2020-06-10, 0.9, Mecklenburg-Vorpommern, 13, 0.0113, 1
2020-06-11, 0.7, Mecklenburg-Vorpommern, 13, 0.0089, 0.9
2020-06-12, 0.7, Mecklenburg-Vorpommern, 13, 0.0097, 1
2020-06-13, 0.6, Mecklenburg-Vorpommern, 13, 0.0072, 0.9
2020-06-14, -0.3, Mecklenburg-Vorpommern, 13, -0.0086, 0.5
2020-06-15, -0.2, Mecklenburg-Vorpommern, 13, -0.0069, 0.6
2020-06-16, -0.1, Mecklenburg-Vorpommern, 13, -0.0034, 0.7
2020-06-17, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 0.6
2020-06-18, -0.1, Mecklenburg-Vorpommern, 13, -0.0017, 0.9
2020-06-19, -0.2, Mecklenburg-Vorpommern, 13, -0.0069, 0.7
2020-06-20, -0.2, Mecklenburg-Vorpommern, 13, -0.0069, 0.7
2020-06-21, 0.2, Mecklenburg-Vorpommern, 13, 0.0024, 0.7
2020-06-22, 0.1, Mecklenburg-Vorpommern, 13, 0.0008, 0.6
2020-06-23, -0.2, Mecklenburg-Vorpommern, 13, -0.0052, 0.5
2020-06-24, -0.2, Mecklenburg-Vorpommern, 13, -0.0052, 0.4
2020-06-25, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 0.3
2020-06-26, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 0.4
2020-06-27, -0.2, Mecklenburg-Vorpommern, 13, -0.0069, 0.4
2020-06-28, -0.1, Mecklenburg-Vorpommern, 13, -0.0034, 0.6
2020-06-29, -0.1, Mecklenburg-Vorpommern, 13, -0.0017, 0.6
2020-06-30, 0.1, Mecklenburg-Vorpommern, 13, 0.0016, 0.6
2020-07-01, 0.2, Mecklenburg-Vorpommern, 13, 0.0024, 0.6
2020-07-02, 0.1, Mecklenburg-Vorpommern, 13, 0.0016, 0.4
2020-07-03, 0.1, Mecklenburg-Vorpommern, 13, 0.0008, 0.4
2020-07-04, -0.1, Mecklenburg-Vorpommern, 13, -0.0034, 0.3
2020-07-05, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 0.2
2020-07-06, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 0.2
2020-07-07, -0.5, Mecklenburg-Vorpommern, 13, -0.0137, 0.1
2020-07-08, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 0.1
2020-07-09, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 0.1
2020-07-10, -0.4, Mecklenburg-Vorpommern, 13, -0.012, 
2020-07-11, -0.3, Mecklenburg-Vorpommern, 13, -0.0086, 
2020-07-12, -0.2, Mecklenburg-Vorpommern, 13, -0.0052, 
2020-07-13, -0.2, Mecklenburg-Vorpommern, 13, -0.0052, 
2020-07-14, -0.1, Mecklenburg-Vorpommern, 13, -0.0034, 
2020-07-15, -0.1, Mecklenburg-Vorpommern, 13, -0.0017, 
2020-07-16, , Mecklenburg-Vorpommern, 13, , 0.1
2020-07-17, 0.1, Mecklenburg-Vorpommern, 13, 0.0008, 0.1
2020-07-18, 0.2, Mecklenburg-Vorpommern, 13, 0.0024, 0.2
2020-07-19, 0.2, Mecklenburg-Vorpommern, 13, 0.0032, 0.2
2020-07-20, 0.4, Mecklenburg-Vorpommern, 13, 0.0048, 0.4
2020-07-21, 0.4, Mecklenburg-Vorpommern, 13, 0.0048, 0.4
2020-07-22, 0.5, Mecklenburg-Vorpommern, 13, 0.0064, 0.5
2020-07-23, 0.6, Mecklenburg-Vorpommern, 13, 0.0081, 0.7
2020-07-24, 1.3, Mecklenburg-Vorpommern, 13, 0.0169, 1.4
2020-07-25, 2.2, Mecklenburg-Vorpommern, 13, 0.0282, 2.4
2020-07-26, 2.1, Mecklenburg-Vorpommern, 13, 0.0266, 2.3
2020-07-27, 1.8, Mecklenburg-Vorpommern, 13, 0.0233, 2.2
2020-07-28, 2.1, Mecklenburg-Vorpommern, 13, 0.0274, 2.5
2020-07-29, 2.1, Mecklenburg-Vorpommern, 13, 0.0266, 2.5
2020-07-30, 2.2, Mecklenburg-Vorpommern, 13, 0.029, 2.9
2020-07-31, 1.1, Mecklenburg-Vorpommern, 13, 0.0145, 2.5
2020-08-01, -0.8, Mecklenburg-Vorpommern, 13, -0.0223, 1.6
2020-08-02, -0.1, Mecklenburg-Vorpommern, 13, -0.0017, 2.2
2020-08-03, 0.3, Mecklenburg-Vorpommern, 13, 0.004, 2.5
2020-08-04, -0.1, Mecklenburg-Vorpommern, 13, -0.0017, 2.4
2020-08-05, 0.2, Mecklenburg-Vorpommern, 13, 0.0032, 2.8
2020-08-06, 0.1, Mecklenburg-Vorpommern, 13, 0.0016, 3
2020-08-07, 1.2, Mecklenburg-Vorpommern, 13, 0.0161, 3.7
2020-08-08, 2.6, Mecklenburg-Vorpommern, 13, 0.0338, 4.2
2020-08-09, 1.5, Mecklenburg-Vorpommern, 13, 0.0193, 3.7
2020-08-10, 1, Mecklenburg-Vorpommern, 13, 0.0129, 3.5
2020-08-11, 1.2, Mecklenburg-Vorpommern, 13, 0.0153, 3.6
2020-08-12, 0.6, Mecklenburg-Vorpommern, 13, 0.0072, 3.4
2020-08-13, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 2.7
2020-08-14, -1.7, Mecklenburg-Vorpommern, 13, -0.0464, 2.1
2020-08-15, -2.1, Mecklenburg-Vorpommern, 13, -0.0567, 2.1
2020-08-16, -1.8, Mecklenburg-Vorpommern, 13, -0.0498, 1.9
2020-08-17, -1.5, Mecklenburg-Vorpommern, 13, -0.0412, 2
2020-08-18, -1.7, Mecklenburg-Vorpommern, 13, -0.0481, 1.9
2020-08-19, -1.7, Mecklenburg-Vorpommern, 13, -0.0464, 1.7
2020-08-20, -1, Mecklenburg-Vorpommern, 13, -0.0275, 1.7
2020-08-21, -0.4, Mecklenburg-Vorpommern, 13, -0.012, 1.6
2020-08-22, -0.9, Mecklenburg-Vorpommern, 13, -0.0241, 1.2
2020-08-23, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 1.4
2020-08-24, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 1.4
2020-08-25, -0.6, Mecklenburg-Vorpommern, 13, -0.0155, 1.3
2020-08-26, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 1.3
2020-08-27, -0.4, Mecklenburg-Vorpommern, 13, -0.012, 1.2
2020-08-28, -0.5, Mecklenburg-Vorpommern, 13, -0.0137, 1.1
2020-08-29, -0.2, Mecklenburg-Vorpommern, 13, -0.0069, 1
2020-08-30, -0.5, Mecklenburg-Vorpommern, 13, -0.0137, 0.9
2020-08-31, -0.6, Mecklenburg-Vorpommern, 13, -0.0172, 0.8
2020-09-01, -0.6, Mecklenburg-Vorpommern, 13, -0.0172, 0.7
2020-09-02, -0.6, Mecklenburg-Vorpommern, 13, -0.0172, 0.7
2020-09-03, -0.4, Mecklenburg-Vorpommern, 13, -0.0103, 0.9
2020-09-04, -0.1, Mecklenburg-Vorpommern, 13, -0.0034, 1
2020-09-05, 0.2, Mecklenburg-Vorpommern, 13, 0.0024, 1.2
2020-09-06, 0.5, Mecklenburg-Vorpommern, 13, 0.0064, 1.4
2020-09-07, 0.6, Mecklenburg-Vorpommern, 13, 0.0072, 1.4
2020-09-08, 1.1, Mecklenburg-Vorpommern, 13, 0.0137, 1.7
2020-09-09, 1.2, Mecklenburg-Vorpommern, 13, 0.0161, 1.9
2020-09-10, 0.9, Mecklenburg-Vorpommern, 13, 0.0121, 1.8
2020-09-11, 0.7, Mecklenburg-Vorpommern, 13, 0.0097, 1.7
2020-09-12, 0.8, Mecklenburg-Vorpommern, 13, 0.0105, 2
2020-09-13, 0.7, Mecklenburg-Vorpommern, 13, 0.0097, 2.1
2020-09-14, 0.7, Mecklenburg-Vorpommern, 13, 0.0097, 2.1
2020-09-15, 0.1, Mecklenburg-Vorpommern, 13, 0.0016, 1.9
2020-09-16, 0.4, Mecklenburg-Vorpommern, 13, 0.0056, 2.4
2020-09-17, 0.4, Mecklenburg-Vorpommern, 13, 0.0048, 2.2
2020-09-18, 1.2, Mecklenburg-Vorpommern, 13, 0.0161, 3
2020-09-19, 1, Mecklenburg-Vorpommern, 13, 0.0129, 3
2020-09-20, 1, Mecklenburg-Vorpommern, 13, 0.0129, 3.1
2020-09-21, 0.9, Mecklenburg-Vorpommern, 13, 0.0121, 3
2020-09-22, 1.5, Mecklenburg-Vorpommern, 13, 0.0193, 3.4
2020-09-23, 1, Mecklenburg-Vorpommern, 13, 0.0129, 3.4
2020-09-24, 1.6, Mecklenburg-Vorpommern, 13, 0.0209, 3.8
2020-09-25, 0.2, Mecklenburg-Vorpommern, 13, 0.0024, 3.2
2020-09-26, 0.1, Mecklenburg-Vorpommern, 13, 0.0008, 3
2020-09-27, -0.1, Mecklenburg-Vorpommern, 13, -0.0017, 3
2020-09-28, 0.2, Mecklenburg-Vorpommern, 13, 0.0024, 3.2
2020-09-29, -0.2, Mecklenburg-Vorpommern, 13, -0.0069, 3.1
2020-09-30, 1.2, Mecklenburg-Vorpommern, 13, 0.0153, 4.5
2020-10-01, 1.1, Mecklenburg-Vorpommern, 13, 0.0137, 4.9
2020-10-02, 3.1, Mecklenburg-Vorpommern, 13, 0.0403, 6.3
2020-10-03, 3.7, Mecklenburg-Vorpommern, 13, 0.0475, 6.7
2020-10-04, 4.8, Mecklenburg-Vorpommern, 13, 0.062, 7.8
2020-10-05, 4.8, Mecklenburg-Vorpommern, 13, 0.062, 8
2020-10-06, 5.2, Mecklenburg-Vorpommern, 13, 0.0668, 8.3
2020-10-07, 2.5, Mecklenburg-Vorpommern, 13, 0.0322, 7
2020-10-08, 2.6, Mecklenburg-Vorpommern, 13, 0.0338, 7.5
2020-10-09, 1.1, Mecklenburg-Vorpommern, 13, 0.0137, 7.3
2020-10-10, 1.2, Mecklenburg-Vorpommern, 13, 0.0161, 8
2020-10-11, 0.8, Mecklenburg-Vorpommern, 13, 0.0105, 8.6
2020-10-12, 0.9, Mecklenburg-Vorpommern, 13, 0.0113, 8.9
2020-10-13, 0.6, Mecklenburg-Vorpommern, 13, 0.0072, 8.8
2020-10-14, 4.7, Mecklenburg-Vorpommern, 13, 0.0612, 11.8
2020-10-15, 6.9, Mecklenburg-Vorpommern, 13, 0.0894, 14.4
2020-10-16, 8.5, Mecklenburg-Vorpommern, 13, 0.1103, 15.9
2020-10-17, 9.4, Mecklenburg-Vorpommern, 13, 0.1216, 17.3
2020-10-18, 8.6, Mecklenburg-Vorpommern, 13, 0.1111, 17.2
2020-10-19, 8.5, Mecklenburg-Vorpommern, 13, 0.1103, 17.4
2020-10-20, 9.1, Mecklenburg-Vorpommern, 13, 0.1176, 17.9
2020-10-21, 7.7, Mecklenburg-Vorpommern, 13, 0.0998, 19.5
2020-10-22, 6.3, Mecklenburg-Vorpommern, 13, 0.0821, 20.7
2020-10-23, 8, Mecklenburg-Vorpommern, 13, 0.1031, 23.8
2020-10-24, 8.7, Mecklenburg-Vorpommern, 13, 0.1127, 26.1
2020-10-25, 10.7, Mecklenburg-Vorpommern, 13, 0.1385, 27.9
2020-10-26, 11.3, Mecklenburg-Vorpommern, 13, 0.1457, 28.7
2020-10-27, 12.7, Mecklenburg-Vorpommern, 13, 0.1643, 30.6
2020-10-28, 15.1, Mecklenburg-Vorpommern, 13, 0.1957, 34.6
2020-10-29, 16.9, Mecklenburg-Vorpommern, 13, 0.219, 37.6
2020-10-30, 15.4, Mecklenburg-Vorpommern, 13, 0.1989, 39.2
2020-10-31, 18.2, Mecklenburg-Vorpommern, 13, 0.2359, 44.3
2020-11-01, 18, Mecklenburg-Vorpommern, 13, 0.2327, 45.9
2020-11-02, 18.2, Mecklenburg-Vorpommern, 13, 0.2359, 46.9
2020-11-03, 16.4, Mecklenburg-Vorpommern, 13, 0.2126, 47
2020-11-04, 14.4, Mecklenburg-Vorpommern, 13, 0.186, 48.9
2020-11-05, 13.1, Mecklenburg-Vorpommern, 13, 0.1699, 50.7
2020-11-06, 11.8, Mecklenburg-Vorpommern, 13, 0.153, 51
2020-11-07, 5.3, Mecklenburg-Vorpommern, 13, 0.0692, 49.6
2020-11-08, 5.3, Mecklenburg-Vorpommern, 13, 0.0692, 51.2
2020-11-09, 4.2, Mecklenburg-Vorpommern, 13, 0.0539, 51.1
2020-11-10, 3.5, Mecklenburg-Vorpommern, 13, 0.0451, 50.5
2020-11-11, -2.1, Mecklenburg-Vorpommern, 13, -0.0584, 46.8
2020-11-12, -6.4, Mecklenburg-Vorpommern, 13, -0.177, 44.3
2020-11-13, -4.4, Mecklenburg-Vorpommern, 13, -0.122, 46.6
2020-11-14, -4.9, Mecklenburg-Vorpommern, 13, -0.134, 44.8
2020-11-15, -8.3, Mecklenburg-Vorpommern, 13, -0.2302, 42.9
2020-11-16, -8.5, Mecklenburg-Vorpommern, 13, -0.2354, 42.5
2020-11-17, -8.9, Mecklenburg-Vorpommern, 13, -0.2457, 41.6
2020-11-18, -2.4, Mecklenburg-Vorpommern, 13, -0.067, 44.4
2020-11-19, 2.9, Mecklenburg-Vorpommern, 13, 0.0378, 47.3
2020-11-20, -0.9, Mecklenburg-Vorpommern, 13, -0.0241, 45.7
2020-11-21, 2.1, Mecklenburg-Vorpommern, 13, 0.0274, 46.9
2020-11-22, 4.1, Mecklenburg-Vorpommern, 13, 0.0531, 47
2020-11-23, 4.3, Mecklenburg-Vorpommern, 13, 0.0556, 46.8
2020-11-24, 6.9, Mecklenburg-Vorpommern, 13, 0.0894, 48.5
2020-11-25, 2.7, Mecklenburg-Vorpommern, 13, 0.0354, 47.1
2020-11-26, -2.7, Mecklenburg-Vorpommern, 13, -0.0756, 44.5
2020-11-27, 0.7, Mecklenburg-Vorpommern, 13, 0.0097, 46.5
2020-11-28, -0.7, Mecklenburg-Vorpommern, 13, -0.0189, 46.2
2020-11-29, 0.4, Mecklenburg-Vorpommern, 13, 0.0048, 47.4
2020-11-30, 1.4, Mecklenburg-Vorpommern, 13, 0.0177, 48.2
2020-12-01, -1.6, Mecklenburg-Vorpommern, 13, -0.043, 46.9
2020-12-02, -0.6, Mecklenburg-Vorpommern, 13, -0.0172, 46.5
2020-12-03, 3.4, Mecklenburg-Vorpommern, 13, 0.0435, 47.9
2020-12-04, 1.4, Mecklenburg-Vorpommern, 13, 0.0185, 47.9
2020-12-05, 3.4, Mecklenburg-Vorpommern, 13, 0.0435, 49.6
